name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Ja'Marr Chase,CIN,WR,25.1,5856,7564,15281,10795,1,1,-34
Justin Jefferson,MIN,WR,25.8,7569,6794,14836,9912,2,2,-9
Jahmyr Gibbs,DET,RB,23,9821,9221,16162,9439,3,1,241
Bijan Robinson,ATL,RB,23.1,9833,9509,16161,9121,4,2,9
CeeDee Lamb,DAL,WR,26,4835,6786,14832,8089,5,3,10
Malik Nabers,NYG,WR,21.6,11737,11632,16615,7987,6,4,144
Brock Bowers,LV,TE,22.3,11702,11604,16641,7611,7,1,-7
2025 Pick 1.01,null,PICK,null,15622,DP_0_0,DP_0_0,7443,8,1,0
Amon-Ra St. Brown,DET,WR,25.4,1527,7547,15287,7333,9,5,-278
Brian Thomas,JAX,WR,22.4,11726,11631,16618,7236,10,6,242
Ashton Jeanty,null,RB,null,12612,12527,UNK,7059,11,3,0
Puka Nacua,LAR,WR,23.8,9822,9493,16211,7059,12,7,-235
Saquon Barkley,PHI,RB,28.1,7257,4866,13604,6665,13,4,-555
Josh Allen,BUF,QB,28.8,6170,4984,13589,6125,14,1,61
Nico Collins,HOU,WR,26,5030,7569,15290,5981,15,8,-341
Lamar Jackson,BAL,QB,28.2,3101,4881,13593,5896,16,2,-283
Drake London,ATL,WR,23.7,998,8112,15751,5864,17,9,70
Jayden Daniels,WAS,QB,24.3,11701,11566,16581,5847,18,3,255
De'Von Achane,MIA,RB,23.4,9969,9226,16167,5713,19,5,-446
Trey McBride,ARI,TE,25.3,7325,8130,15794,5574,20,2,-10
Breece Hall,NYJ,RB,23.8,4576,8155,15708,5567,21,6,-228
Marvin Harrison Jr,ARI,WR,22.6,11734,11628,16614,5544,22,10,-25
A.J. Brown,PHI,WR,27.7,4118,5859,14104,5284,23,11,195
Jonathan Taylor,IND,RB,26.2,3046,6813,14802,5114,24,7,-119
2025 Pick 1.02,null,PICK,null,15623,DP_0_1,DP_0_1,5084,25,2,76
Jaxon Smith-Njigba,SEA,WR,23.1,9924,9488,16185,5041,26,12,54
2025 Pick 1.03,null,PICK,null,15624,DP_0_2,DP_0_2,4999,27,3,344
Garrett Wilson,NYJ,WR,24.7,6813,8146,15753,4925,28,13,-408
Joe Burrow,CIN,QB,28.3,1002,6770,14777,4885,29,4,-125
Ladd McConkey,LAC,WR,23.4,11766,11635,16627,4842,30,14,-412
Bucky Irving,TB,RB,22.6,11779,11584,16598,4663,31,8,-434
Kyren Williams,LAR,RB,24.6,7315,8150,15710,4663,32,9,-174
2025 Pick 1.04,null,PICK,null,15625,DP_0_3,DP_0_3,4551,33,4,2
Jalen Hurts,PHI,QB,26.6,6407,6904,14783,4521,34,5,-68
Tetairoa McMillan,null,WR,null,12635,12526,UNK,4518,35,15,-57
Omarion Hampton,null,RB,null,12573,12507,UNK,4471,36,10,111
James Cook,BUF,RB,25.5,182,8138,15715,4292,37,11,-230
2025 Pick 1.05,null,PICK,null,15626,DP_0_4,DP_0_4,4176,38,5,-21
Josh Jacobs,GB,RB,27.1,1326,5850,14073,4113,39,12,-335
Rashee Rice,KC,WR,24.9,9929,10229,16194,4111,40,16,-472
Tee Higgins,CIN,WR,26.2,5531,6801,14835,4002,41,17,-373
Christian McCaffrey,SF,RB,28.8,5494,4034,13130,3999,42,13,-70
Rome Odunze,CHI,WR,22.8,11763,11620,16616,3984,43,18,-5
TreVeyon Henderson,null,RB,null,12580,12529,UNK,3900,44,14,42
Patrick Mahomes,KC,QB,29.5,880,4046,13116,3861,45,6,-198
2025 Pick 1.06,null,PICK,null,15627,DP_0_5,DP_0_5,3859,46,6,-37
Sam LaPorta,DET,TE,24.2,9843,10859,16214,3859,47,3,-100
2025 Round 1,null,PICK,null,9632,FP_2025_1,FP_2025_1,3722,48,7,-43
Kenneth Walker,SEA,RB,24.4,1749,8151,15711,3643,49,15,-274
2025 Pick 1.07,null,PICK,null,15628,DP_0_6,DP_0_6,3586,50,8,-50
Chase Brown,CIN,RB,25,9967,9224,16181,3572,51,16,-329
Derrick Henry,BAL,RB,31.2,5421,3198,12626,3556,52,17,-452
DeVonta Smith,PHI,WR,26.4,6635,7525,15282,3489,53,19,-489
DJ Moore,CHI,WR,27.9,6110,4983,13635,3465,54,20,15
Quinshon Judkins,null,RB,null,12632,12512,UNK,3392,55,18,54
2025 Pick 1.08,null,PICK,null,15629,DP_0_7,DP_0_7,3349,56,9,-58
Luther Burden,null,WR,null,12590,12519,UNK,3311,57,21,-71
DK Metcalf,SEA,WR,27.3,5240,5846,14102,3274,58,22,-152
Chris Olave,NO,WR,24.7,2548,8144,15754,3233,59,23,-299
Kaleb Johnson,null,RB,null,12598,12504,UNK,3232,60,19,-52
Zay Flowers,BAL,WR,24.5,9930,9997,16190,3232,61,24,-354
Tyler Warren,null,TE,null,12592,12518,UNK,3218,62,4,43
Drake Maye,NE,QB,22.6,11696,11564,16580,3201,63,7,-103
C.J. Stroud,HOU,QB,23.5,9838,9758,16150,3200,64,8,-113
Caleb Williams,CHI,QB,23.3,11708,11560,16579,3185,65,9,-59
Terry McLaurin,WAS,WR,29.5,4864,5927,14109,3185,66,25,-22
Justin Herbert,LAC,QB,27,8448,6797,14779,3183,67,10,-66
2025 Pick 1.09,null,PICK,null,15630,DP_0_8,DP_0_8,3141,68,10,-64
Xavier Worthy,KC,WR,21.9,11736,11624,16620,3114,69,26,-210
Emeka Egbuka,null,WR,null,12595,12514,UNK,3092,70,27,23
Jordan Addison,MIN,WR,23.1,9847,9756,16186,3078,71,28,-425
Chuba Hubbard,CAR,RB,25.8,183,7594,15261,3053,72,20,-214
Jameson Williams,DET,WR,24,1100,8148,15756,2994,73,29,-173
Jaylen Waddle,MIA,WR,26.3,1409,7526,15284,2979,74,30,-318
Bo Nix,DEN,QB,25.1,11728,11563,16582,2978,75,11,-29
2025 Pick 1.10,null,PICK,null,15631,DP_0_9,DP_0_9,2958,76,11,-69
Brandon Aiyuk,SF,WR,27,6429,6803,14840,2958,77,31,-133
David Montgomery,DET,RB,27.8,7515,5892,14071,2946,78,21,-42
T.J. Hockenson,MIN,TE,27.7,8215,5844,14138,2941,79,5,-109
Alvin Kamara,NO,RB,29.7,4144,4035,13132,2910,80,22,-125
Joe Mixon,HOU,RB,28.7,4578,4018,13131,2890,81,23,-415
Travis Hunter,null,WR,null,12617,12530,UNK,2869,82,32,-245
Jordan Love,GB,QB,26.4,3651,6804,14782,2807,83,12,-115
George Pickens,PIT,WR,24,1436,8137,15762,2806,84,33,-348
2025 Pick 1.11,null,PICK,null,15632,DP_0_10,DP_0_10,2795,85,12,-72
Tyreek Hill,MIA,WR,31.1,7958,3321,12801,2775,86,34,-200
George Kittle,SF,TE,31.5,5709,4217,13299,2733,87,6,-554
2027 Round 1,null,PICK,null,9692,FP_2027_1,FP_2027_1,2651,88,13,-15
2025 Pick 1.12,null,PICK,null,15633,DP_0_11,DP_0_11,2649,89,14,-74
Chris Godwin,TB,WR,29.1,2505,4037,13163,2621,90,35,40
Mike Evans,TB,WR,31.6,7495,2216,11671,2612,91,36,-259
Jayden Reed,GB,WR,24.9,9863,10222,16184,2605,92,37,-302
2026 Round 1,null,PICK,null,9662,FP_2026_1,FP_2026_1,2583,93,15,-198
Najee Harris,PIT,RB,27,7252,7528,15254,2561,94,24,292
Jerry Jeudy,CLE,WR,25.9,2427,6783,14833,2536,95,38,-113
Davante Adams,NYJ,WR,32.2,1503,2133,11675,2525,96,39,299
2025 Pick 2.01,null,PICK,null,15652,DP_1_0,DP_1_0,2518,97,16,-75
Kyler Murray,ARI,QB,27.6,3544,5849,14056,2515,98,13,-178
Ricky Pearsall,SF,WR,24.5,11752,11638,16622,2485,99,40,140
Colston Loveland,null,TE,null,12578,12517,UNK,2450,100,7,7
Brock Purdy,SF,QB,25.2,5570,8183,15698,2408,101,14,-72
2025 Pick 2.02,null,PICK,null,15653,DP_1_1,DP_1_1,2399,102,17,-76
Tyrone Tracy,NYG,RB,25.3,12123,11655,16747,2385,103,25,-249
Tre Harris,null,WR,null,12593,12509,UNK,2336,104,41,-114
Baker Mayfield,TB,QB,29.9,2737,4892,13590,2333,105,15,-274
Travis Etienne,JAX,RB,26.2,3156,7543,15253,2331,106,26,-386
Cam Skattebo,null,RB,null,12643,12481,UNK,2325,107,27,-37
Brian Robinson,WAS,RB,26,4174,8154,15716,2318,108,28,-256
Matthew Golden,null,WR,null,12672,12501,UNK,2311,109,42,17
Cam Ward,null,QB,null,12603,12522,UNK,2297,110,16,-109
2025 Pick 2.03,null,PICK,null,15654,DP_1_2,DP_1_2,2290,111,18,-77
James Conner,ARI,RB,29.9,7447,4137,13146,2289,112,29,-105
Devin Neal,null,RB,null,12618,12476,UNK,2277,113,30,-115
J.J. McCarthy,MIN,QB,22.2,11740,11565,16584,2256,114,17,86
Josh Downs,IND,WR,23.6,9936,9500,16187,2251,115,43,-190
Mark Andrews,BAL,TE,29.5,4519,5012,13671,2249,116,8,-123
Dalton Kincaid,BUF,TE,25.4,9819,10236,16213,2242,117,9,-297
Zach Charbonnet,SEA,RB,24.2,9921,9753,16169,2238,118,31,-256
Isiah Pacheco,KC,RB,26.1,3777,8205,15749,2231,119,32,-317
D'Andre Swift,CHI,RB,26.2,1574,6790,14797,2228,120,33,-85
Khalil Shakir,BUF,WR,25.1,8607,8134,15761,2223,121,44,-120
Kyle Pitts,ATL,TE,24.5,280,7553,15329,2212,122,10,-13
2025 Pick 2.04,null,PICK,null,15655,DP_1_3,DP_1_3,2191,123,19,-77
Courtland Sutton,DEN,WR,29.4,818,5045,13630,2174,124,45,-80
Trevor Lawrence,JAX,QB,25.5,1086,7523,15237,2169,125,18,-247
Aaron Jones,MIN,RB,30.3,2382,4199,13319,2165,126,34,108
Deebo Samuel,SF,WR,29.2,2495,5872,14136,2153,127,46,13
David Njoku,CLE,TE,28.7,6513,4033,13192,2144,128,11,1
Trey Benson,ARI,RB,22.7,11758,11589,16594,2129,129,35,75
Ollie Gordon,null,RB,null,12616,12495,UNK,2116,130,36,-75
Michael Pittman,IND,WR,27.5,8259,6819,14842,2111,131,47,-156
Jalen McMillan,TB,WR,23.3,11754,11618,16628,2109,132,48,-358
Keon Coleman,BUF,WR,21.8,11716,11637,16617,2105,133,49,-242
2025 Pick 2.05,null,PICK,null,15656,DP_1_4,DP_1_4,2101,134,20,-76
Jared Goff,DET,QB,30.4,8587,3163,12611,2099,135,19,-12
Tucker Kraft,GB,TE,24.4,9824,9484,16222,2077,136,12,-151
Michael Penix,ATL,QB,24.9,11739,11559,16583,2069,137,20,-203
Cooper Kupp,LAR,WR,31.8,5586,4039,13164,2063,138,50,-51
Dylan Sampson,null,RB,null,12638,12469,UNK,2046,139,37,-45
2025 Pick 2.06,null,PICK,null,15657,DP_1_5,DP_1_5,2018,140,21,-76
Rhamondre Stevenson,NE,RB,27.1,4294,7611,15259,2009,141,38,-126
2025 Round 2,null,PICK,null,9633,FP_2025_2,FP_2025_2,1979,142,22,-76
Tony Pollard,TEN,RB,27.9,407,5967,14085,1970,143,39,-123
2025 Pick 2.07,null,PICK,null,15658,DP_1_6,DP_1_6,1941,144,23,-75
Jonathon Brooks,CAR,RB,21.7,11725,11583,16597,1917,145,40,-215
J.K. Dobbins,LAC,RB,26.3,5149,6806,14800,1905,146,41,-270
Jakobi Meyers,LV,WR,28.4,2463,5947,14127,1898,147,51,-35
Jaylen Warren,PIT,RB,26.4,6285,8228,15742,1881,148,42,27
Rachaad White,TB,RB,26.2,2187,8136,15721,1874,149,43,-153
2025 Pick 2.08,null,PICK,null,15659,DP_1_7,DP_1_7,1869,150,24,-75
Tank Bigsby,JAX,RB,22.6,9925,9225,16164,1867,151,44,-157
Isaiah Likely,BAL,TE,24.9,7402,8131,15798,1864,152,13,32
Dak Prescott,DAL,QB,31.6,6637,3294,12620,1856,153,21,-146
Isaiah Bond,null,WR,null,12655,12503,UNK,1845,154,52,-131
Calvin Ridley,TEN,WR,30.3,41,4981,13629,1839,155,53,67
Jordan Mason,SF,RB,25.8,5469,8408,15972,1833,156,45,241
Jauan Jennings,SF,WR,27.7,2631,7049,14860,1831,157,54,13
Evan Engram,JAX,TE,30.6,3648,4066,13189,1830,158,14,192
Shedeur Sanders,null,QB,null,12587,12524,UNK,1822,159,22,-201
Bryce Young,CAR,QB,23.7,9944,9228,16148,1821,160,23,-146
2025 Pick 2.09,null,PICK,null,15660,DP_1_8,DP_1_8,1802,161,25,-74
Elic Ayomanor,null,WR,null,12623,12499,UNK,1788,162,55,-86
Tyjae Spears,TEN,RB,23.8,9817,9508,16165,1783,163,46,-186
Braelon Allen,NYJ,RB,21.2,11748,11576,16596,1742,164,47,-124
2025 Pick 2.10,null,PICK,null,15661,DP_1_9,DP_1_9,1740,165,26,-73
Rashid Shaheed,NO,WR,26.6,2354,8676,16080,1737,166,56,-52
Xavier Legette,CAR,WR,24.1,11718,11626,16639,1733,167,57,-200
Stefon Diggs,HOU,WR,31.3,3214,2449,12186,1728,168,58,0
Javonte Williams,DEN,RB,24.9,6963,7588,15256,1712,169,48,33
Tua Tagovailoa,MIA,QB,27.1,6092,6768,14778,1706,170,24,-185
2025 Pick 2.11,null,PICK,null,15662,DP_1_10,DP_1_10,1683,171,27,-72
Jake Ferguson,DAL,TE,26.2,6785,8110,15799,1673,172,15,-105
DJ Giddens,null,RB,null,12656,12471,UNK,1664,173,49,-31
Tank Dell,HOU,WR,25.4,9950,9502,16204,1656,174,59,-230
Jonnu Smith,MIA,TE,29.6,4185,4144,13193,1653,175,16,-216
Travis Kelce,KC,TE,35.5,2204,1466,11244,1640,176,17,-29
RJ Harvey,null,RB,null,12601,12489,UNK,1639,177,50,-14
Darnell Mooney,ATL,WR,27.4,3901,7090,14974,1638,178,60,-127
Cade Otton,TB,TE,25.9,2021,8111,15802,1637,179,18,-144
Christian Kirk,JAX,WR,28.3,8090,4950,13633,1630,180,61,237
2025 Pick 2.12,null,PICK,null,15663,DP_1_11,DP_1_11,1629,181,28,-71
Blake Corum,LAR,RB,24.3,11747,11586,16593,1629,182,51,-84
Jaylen Wright,MIA,RB,22,11781,11643,16610,1620,183,52,6
Sam Darnold,MIN,QB,27.8,8007,4943,13592,1620,184,25,172
Jayden Higgins,null,WR,null,12652,12484,UNK,1610,185,62,-28
Justin Fields,PIT,QB,26,7191,7591,15238,1610,186,26,424
Isaac Guerendo,SF,RB,24.7,11789,11651,16688,1609,187,53,-51
Pat Freiermuth,PIT,TE,26.4,2550,7600,15331,1609,188,19,-119
Jalen Royals,null,WR,null,12671,12505,UNK,1590,189,63,-44
2025 Pick 3.01,null,PICK,null,15682,DP_2_0,DP_2_0,1578,190,29,-71
Bhayshul Tuten,null,RB,null,12620,12490,UNK,1573,191,54,14
Quentin Johnston,LAC,WR,23.5,9879,9754,16188,1571,192,64,-101
Damien Martinez,null,RB,null,12633,12462,UNK,1548,193,55,-70
Marvin Mims,DEN,WR,23,9955,9494,16189,1535,194,65,-98
Harold Fannin,null,TE,null,12659,12506,UNK,1531,195,20,-88
2025 Pick 3.02,null,PICK,null,15683,DP_2_1,DP_2_1,1530,196,30,-69
Rico Dowdle,DAL,RB,26.8,1465,7021,14823,1529,197,56,-252
Romeo Doubs,GB,WR,24.9,2419,8121,15779,1527,198,66,-114
Xavier Restrepo,null,WR,null,12649,12520,UNK,1525,199,67,-77
Nick Chubb,CLE,RB,29.2,4188,4988,13610,1524,200,57,58
Dallas Goedert,PHI,TE,30.2,5988,5022,13674,1516,201,21,2
2026 Round 2,null,PICK,null,9663,FP_2026_2,FP_2026_2,1510,202,31,-69
Ray Davis,BUF,RB,25.4,11699,11575,16603,1505,203,58,-63
Tez Johnson,null,WR,null,12667,12485,UNK,1504,204,68,-68
Cedric Tillman,CLE,WR,24.9,9904,10444,16191,1492,205,69,-166
2025 Pick 3.03,null,PICK,null,15684,DP_2_2,DP_2_2,1485,206,32,-69
Cole Kmet,CHI,TE,26,4857,6826,14867,1483,207,22,-130
Jordan James,null,RB,null,12657,12467,UNK,1462,208,59,-39
Jerome Ford,CLE,RB,25.5,8319,8143,15713,1454,209,60,-297
Anthony Richardson,IND,QB,22.8,9951,9229,16152,1453,210,27,-327
2027 Round 2,null,PICK,null,9693,FP_2027_2,FP_2027_2,1452,211,33,-40
Ben Sinnott,WAS,TE,22.8,11746,11596,16644,1451,212,23,88
2025 Pick 3.04,null,PICK,null,15685,DP_2_3,DP_2_3,1443,213,34,-68
Ja'Tavion Sanders,CAR,TE,22,11714,11600,16643,1435,214,24,-77
Adonai Mitchell,IND,WR,22.4,11711,11625,16626,1419,215,70,-105
Wan'Dale Robinson,NYG,WR,24.2,4091,8126,15757,1409,216,71,-87
2025 Pick 3.05,null,PICK,null,15686,DP_2_4,DP_2_4,1403,217,35,-67
Elijah Arroyo,null,TE,null,12650,12521,UNK,1395,218,25,-59
